date,price
2025-07-07 00:00:00,109215.19771840284
2025-07-08 00:00:00,108300.71675785031
2025-07-09 00:00:00,108953.19187727802
2025-07-10 00:00:00,111327.53054245669
2025-07-11 00:00:00,115879.65030112496
2025-07-12 00:00:00,117571.02510036016
2025-07-13 00:00:00,117418.95745007684
2025-07-14 00:00:00,119117.55666327637
2025-07-15 00:00:00,119833.67446712355
2025-07-16 00:00:00,117678.19493404306
2025-07-17 00:00:00,118748.1627367753
2025-07-18 00:00:00,119445.36520434043
2025-07-19 00:00:00,117988.94664455787
2025-07-20 00:00:00,117901.62655900871
2025-07-21 00:00:00,117256.9208222684
2025-07-22 00:00:00,117482.46977767294
2025-07-23 00:00:00,119955.79570607653
2025-07-24 00:00:00,118629.05588130427
2025-07-25 00:00:00,118354.43517438594
2025-07-26 00:00:00,117540.80837085741
2025-07-27 00:00:00,117959.54234360624
2025-07-28 00:00:00,119418.91405141471
2025-07-29 00:00:00,118003.30201607826
2025-07-30 00:00:00,117853.30892863822
2025-07-31 00:00:00,117833.24087995925
2025-08-01 00:00:00,115700.00243915782
2025-08-02 00:00:00,113234.6051343189
2025-08-03 00:00:00,112554.90232221723
2025-08-04 00:00:00,114199.10966460757
2025-08-05 00:00:00,115138.68613070177
2025-08-05 05:48:55,114261.05588929616
